B,T,Mal,Fre,Op,Total
180,340,4.48352,0.000381189,5.237e-05,4.48395
350,60,4.48749,0.000229813,3.2621e-05,4.48775
200,30,0.07114,0.000170034,2.8931e-05,0.071339
510,270,4.47596,0.000834886,0.000114222,4.47691
360,450,4.49808,0.000955086,0.000132799,4.49917
360,480,4.49936,0.000989007,0.000139959,4.50049
140,480,4.47711,0.000397527,5.0646e-05,4.47756
340,310,4.49526,0.00065992,8.8282e-05,4.49601
40,20,4.49519,0.000155668,2.9737e-05,4.49538
70,350,4.47955,0.000235018,3.2407e-05,4.47982
400,240,4.48393,0.000587445,7.8821e-05,4.4846
100,320,4.48198,0.000263423,3.7174e-05,4.48228
390,240,4.50381,0.000592504,7.7839e-05,4.50448
430,410,4.494,0.000991082,0.000145587,4.49514
190,470,0.107903,0.000585714,7.6982e-05,0.108566
270,60,4.48717,0.000214889,2.9942e-05,4.48742
80,510,4.52975,0.000290905,3.8156e-05,4.53008
190,110,0.0750281,0.000306958,3.321e-05,0.0753683
340,320,4.51902,0.000648543,8.8827e-05,4.51976
190,140,0.0906513,0.000268871,4.8155e-05,0.0909683
130,500,4.47349,0.000364896,5.5839e-05,4.47391
410,260,4.47653,0.000643179,8.9419e-05,4.47726
240,480,4.51727,0.000698233,9.3886e-05,4.51806
500,390,4.51701,0.00346084,0.00230258,4.52277
10,360,4.4747,0.000176846,3.0877e-05,4.47491
300,460,4.56949,0.000829244,0.000113254,4.57044
380,360,4.50784,0.000848288,0.000110641,4.5088
190,60,0.090543,0.000197796,2.8981e-05,0.0907697
150,80,4.47627,0.000196186,3.1103e-05,4.4765
70,420,4.47458,0.000260663,2.9982e-05,4.47487
510,150,4.52056,0.000554721,6.2508e-05,4.52118
270,150,4.52019,0.000310348,3.4795e-05,4.52054
490,330,4.48888,0.000941231,0.000133222,4.48995
70,390,4.47986,0.000269222,3.1567e-05,4.48016
120,440,4.4996,0.000333553,4.6201e-05,4.49998
140,180,0.0710718,0.000275319,3.4022e-05,0.0713811
230,440,4.49785,0.000625281,8.4137e-05,4.49856
490,170,4.56163,0.00044812,6.9278e-05,4.56215
120,80,4.46225,0.000196188,3.0271e-05,4.46248
90,30,4.46856,0.000160015,2.9882e-05,4.46875
230,270,4.48618,0.000372334,5.2855e-05,4.48661
330,30,4.52186,0.000191176,3.193e-05,4.52208
440,320,4.48877,0.000857221,0.000113982,4.48974
130,270,4.5098,0.000269557,3.3639e-05,4.51011
440,220,4.49517,0.00058361,7.9779e-05,4.49583
310,100,4.50782,0.000265378,3.1148e-05,4.50812
350,40,4.48761,0.000200691,3.0438e-05,4.48784
440,300,4.50199,0.000819505,0.000108931,4.50292
230,230,4.4899,0.000335597,4.6631e-05,4.49028
360,60,4.52695,0.000229198,3.0073e-05,4.52721
220,160,4.52941,0.000286045,3.1966e-05,4.52973
220,130,4.4845,0.000259029,3.1835e-05,4.48479
300,470,4.52097,0.00341897,0.000110484,4.5245
450,360,4.51657,0.000911974,0.000131521,4.51761
380,350,4.53685,0.000866735,0.000108712,4.53782
10,450,4.48573,0.000176157,3.0627e-05,4.48594
370,450,4.50046,0.000954163,0.000136975,4.50155
190,210,0.0883958,0.000293799,3.9313e-05,0.0887289
180,200,4.52568,0.000282374,3.4317e-05,4.52599
230,70,4.46121,0.000213591,2.969e-05,4.46146
420,250,4.52243,0.000652388,8.8227e-05,4.52317
460,200,4.5024,0.000575224,7.5727e-05,4.50305
370,270,4.48583,0.000609826,8.3654e-05,4.48652
140,110,4.4883,0.000206329,3.1154e-05,4.48854
330,360,4.53099,0.000670071,9.8009e-05,4.53176
80,340,4.48035,0.000243682,2.8632e-05,4.48062
330,450,4.51664,0.000871464,0.000122901,4.51763
110,260,4.47673,0.000252132,3.1681e-05,4.47701
90,390,4.48025,0.000296558,3.4133e-05,4.48058
370,340,4.48928,0.000695723,0.000103684,4.49007
